"tagfield","liblibrarian","libopac","repeatable","mandatory","important","authorised_value","ind1_defaultvalue","ind2_defaultvalue","frameworkcode"
"260","f","Herstellerfirma","Herstellerfirma","1","0","0","","0","","","","","0","FA","","","","9999","0"
"260","g","Herstellungsjahr","Herstellungsjahr","1","0","0","","0","","","","","0","FA","","","","9999","0"
"260","k","Identification/manufacturer number [OBSOLETE, CAN/MARC]","Identification/manufacturer number [OBSOLETE, CAN/MARC]","0","0","0","","0","","","","","0","FA","","","","9999","0"
"260","l","Matrix and/or take number [OBSOLETE, CAN/MARC]","Matrix and/or take number [OBSOLETE, CAN/MARC]","0","0","0","","0","","","","","0","FA","","","","9999","0"
"300","3","Spezifische Materialangaben","Spezifische Materialangaben","0","0","0","","0","","","","","-6","FA","","","","9999","0"
"300","6","Verknüpfung","Verknüpfung","0","0","0","","0","","","","","-6","FA","","","","9999","0"
"300","8","Feldverknüpfung und Reihenfolge","Feldverknüpfung und Reihenfolge","1","0","0","","0","","","","","-6","FA","","","","9999","0"
"300","a","Umfang","Umfang","1","0","0","biblioitems.pages","0","","","","","0","FA","","","","9999","0"
"300","b","Weitere äußerliche Details","Weitere äußerliche Details","0","0","0","biblioitems.illus","0","","","","0","0","FA","","","","9999","0"
"300","c","Maße","Maße","1","0","0","biblioitems.size","0","","","","","0","FA","","","","9999","0"
"300","d","Begleitmaterial [OBSOLETE, CAN/MARC]","Begleitmaterial [OBSOLETE, CAN/MARC]","0","0","0","","0","","","","","-6","FA","","","","9999","0"
"300","e","Begleitmaterial","Begleitmaterial","0","0","0","","0","","","","","0","FA","","","","9999","0"
"300","f","Art der Einheit","Art der Einheit","1","0","0","","0","","","","","0","FA","","","","9999","0"
"300","g","Größe der Einheit","Größe der Einheit","1","0","0","","0","","","","","0","FA","","","","9999","0"
"300","k","Speed [Videodiscs, pre-AACR2 records only] [OBSOLETE, CAN/MARC]","Speed [Videodiscs, pre-AACR2 records only] [OBSOLETE, CAN/MARC]","0","0","0","","0","","","","","-6","FA","","","","9999","0"
"300","m","Identification/manufacturer number [pre-AACR2 records only] [OBSOLETE, CAN/MARC]","Identification/manufacturer number [pre-AACR2 records only] [OBSOLETE, CAN/MARC]","0","0","0","","0","","","","","-6","FA","","","","9999","0"
